helper_id,day_of_week,start_time,end_time
H001,monday,07:00,17:00
H001,tuesday,08:00,17:00
H001,wednesday,07:00,17:00
H001,thursday,08:00,17:00
H001,friday,07:00,17:00
H002,monday,09:00,18:00
H002,tuesday,09:00,18:00
H002,wednesday,09:00,18:00
H002,thursday,09:00,18:00
H002,friday,09:00,18:00
H003,monday,08:00,17:00
H003,tuesday,08:00,17:00
H003,wednesday,08:00,17:00
H003,thursday,08:00,17:00
H003,friday,08:00,17:00
H003,saturday,08:00,17:00
H004,monday,09:00,18:00
H004,tuesday,09:00,18:00
H004,wednesday,09:00,18:00
H004,thursday,09:00,18:00
H004,friday,09:00,18:00
H005,monday,08:00,17:00
H005,tuesday,08:00,17:00
H005,wednesday,08:00,17:00
H005,thursday,08:00,17:00
H005,friday,08:00,17:00
H005,saturday,09:00,17:00
H006,monday,09:00,18:00
H006,tuesday,09:00,18:00
H006,wednesday,09:00,18:00
H006,thursday,09:00,18:00
H006,friday,09:00,18:00
H007,monday,07:00,17:00
H007,tuesday,07:00,17:00
H007,wednesday,07:00,17:00
H007,thursday,07:00,17:00
H007,friday,07:00,17:00
H008,monday,08:00,17:00
H008,tuesday,08:00,17:00
H008,wednesday,08:00,17:00
H008,thursday,08:00,17:00
H008,friday,08:00,17:00
H008,saturday,08:00,17:00
H009,monday,09:00,18:00
H009,tuesday,09:00,18:00
H009,wednesday,09:00,18:00
H009,thursday,09:00,18:00
H009,friday,09:00,18:00
H010,monday,08:00,17:00
H010,tuesday,08:00,17:00
H010,wednesday,08:00,17:00
H010,thursday,08:00,17:00
H010,friday,08:00,17:00
H010,saturday,09:00,17:00
H011,monday,09:00,18:00
H011,tuesday,09:00,18:00
H011,wednesday,09:00,18:00
H011,thursday,09:00,18:00
H011,friday,09:00,18:00
H012,monday,08:00,17:00
H012,tuesday,08:00,17:00
H012,wednesday,08:00,17:00
H012,thursday,08:00,17:00
H012,friday,08:00,17:00
H012,saturday,08:00,12:00
H013,monday,09:00,13:00
H013,wednesday,09:00,13:00
H013,friday,09:00,13:00
H014,tuesday,13:00,17:00
H014,wednesday,13:00,17:00
H014,thursday,13:00,17:00
H014,friday,13:00,17:00
H015,monday,09:00,15:00
H015,tuesday,09:00,15:00
H015,thursday,09:00,15:00
H016,monday,10:00,14:00
H016,tuesday,10:00,14:00
H016,wednesday,10:00,14:00
H016,saturday,09:00,13:00
H017,monday,08:00,12:00
H017,wednesday,08:00,12:00
H017,friday,08:00,12:00
H017,saturday,08:00,12:00
H018,tuesday,09:00,16:00
H018,wednesday,09:00,16:00
H018,thursday,09:00,16:00
H019,monday,13:00,17:00
H019,tuesday,13:00,17:00
H019,wednesday,13:00,17:00
H019,thursday,13:00,17:00
H020,monday,09:00,13:00
H020,wednesday,09:00,13:00
H020,thursday,09:00,13:00
H020,saturday,09:00,12:00
H003,sunday,09:00,13:00
H005,sunday,09:00,13:00
H010,sunday,09:00,15:00
H012,sunday,09:00,13:00
H016,sunday,10:00,15:00
